,V1,V2,V3,V4,V5,V6,V7
bkgrd,CentralAmerican,SouthAmerican,Mexican,Cuban,Other/Unknown,PuertoRican,Dominican
n,1094, 686,3635,1732, 326,1703, 897
chrx.NAM, 1.05e-64, 3.85e-45,1.09e-225, 1.04e-53, 4.59e-14, 4.46e-97, 1.87e-18
chrx.EUR, 4.88e-70, 1.06e-48,2.42e-236, 1.56e-77, 4.09e-21, 6.41e-77, 6.18e-46
chrx.AFR,5.49e-01,8.65e-01,3.59e-01,1.70e-24,1.65e-05,5.22e-03,9.27e-23
pooled.NAM, 1.91e-28, 2.79e-13,2.61e-100, 4.08e-35, 3.10e-04, 1.04e-80, 2.37e-14
pooled.EUR, 3.38e-35, 3.76e-16,5.74e-111, 2.11e-25, 5.66e-07, 7.67e-47, 1.58e-24
pooled.AFR,7.31e-01,9.31e-01,4.28e-01,8.76e-07,5.88e-02,5.96e-02,1.75e-10
